~~~~~~~~~~~~~~~~~~~~~STARTING~~~~~~~~~~~~~~~~~~~~
Lambda = 50.00, Ts = 0.015, SimTime = 100.00

wAvg = 0, qAvg = 0
Arrival      Tw      Start       End        Tq
48.966     0.021    48.987     49.002     0.036
49.003     0.015    49.017     49.018     0.015
49.013     0.007    49.020     49.033     0.019
49.014     0.024    49.038     49.048     0.034
49.020     0.039    49.059     49.063     0.043
49.034     0.029    49.063     49.078     0.044
49.059     0.019    49.078     49.093     0.034
49.095     0.000    49.095     49.110     0.015
49.122     0.000    49.122     49.137     0.015
49.139     0.000    49.139     49.154     0.015
49.155     0.000    49.155     49.170     0.015
49.183     0.006    49.189     49.198     0.015
49.189     0.015    49.204     49.213     0.024
49.204     0.014    49.219     49.228     0.024
49.219     0.009    49.228     49.243     0.024
49.265     0.003    49.269     49.280     0.015
49.269     0.012    49.280     49.295     0.027
49.321     0.006    49.327     49.336     0.015
49.326     0.019    49.345     49.351     0.025
49.327     0.030    49.358     49.366     0.039
49.345     0.021    49.366     49.381     0.036
49.352     0.030    49.381     49.396     0.045
49.399     0.000    49.399     49.414     0.015
49.415     0.000    49.415     49.430     0.015
49.439     0.013    49.452     49.454     0.015
49.452     0.002    49.454     49.469     0.017
49.520     0.006    49.526     49.535     0.015
49.522     0.013    49.535     49.550     0.028
49.526     0.035    49.562     49.565     0.039
49.562     0.004    49.565     49.580     0.019
49.588     0.007    49.595     49.603     0.015
49.595     0.023    49.618     49.618     0.023
49.618     0.000    49.618     49.633     0.015
49.649     0.014    49.664     49.664     0.015
49.654     0.011    49.665     49.679     0.025
49.663     0.017    49.679     49.694     0.032
49.665     0.034    49.699     49.709     0.045
49.699     0.011    49.709     49.724     0.026
49.727     0.013    49.740     49.742     0.015
49.728     0.025    49.753     49.757     0.029
49.732     0.026    49.757     49.772     0.041
49.753     0.019    49.772     49.787     0.034
49.789     0.000    49.789     49.804     0.015
49.814     0.000    49.814     49.829     0.015
49.847     0.000    49.847     49.862     0.015
49.882     0.000    49.882     49.897     0.015
49.882     0.015    49.897     49.912     0.030
49.931     0.013    49.944     49.946     0.015
49.935     0.011    49.946     49.961     0.026
49.936     0.038    49.974     49.976     0.040
49.974     0.006    49.980     49.991     0.017
49.980     0.022    50.002     50.006     0.026
50.002     0.004    50.006     50.021     0.019
50.032     0.000    50.032     50.047     0.015
50.068     0.012    50.079     50.083     0.015
50.078     0.017    50.096     50.098     0.020
50.079     0.018    50.098     50.113     0.033
50.089     0.023    50.113     50.128     0.038
50.133     0.000    50.133     50.148     0.015
50.171     0.005    50.176     50.186     0.015
50.172     0.014    50.186     50.201     0.029
50.176     0.035    50.211     50.216     0.040
50.211     0.005    50.216     50.231     0.020
50.231     0.013    50.244     50.246     0.015
50.244     0.002    50.246     50.261     0.017
50.263     0.004    50.268     50.278     0.015
50.268     0.025    50.292     50.293     0.026
50.292     0.001    50.293     50.308     0.016
50.346     0.000    50.346     50.361     0.015
50.368     0.000    50.368     50.383     0.015
50.397     0.015    50.412     50.412     0.015
50.412     0.010    50.422     50.427     0.015
50.419     0.018    50.437     50.442     0.023
50.421     0.032    50.453     50.457     0.036
50.428     0.044    50.472     50.472     0.044
50.453     0.019    50.472     50.487     0.034
50.464     0.036    50.500     50.502     0.039
50.500     0.005    50.505     50.517     0.018
50.505     0.012    50.517     50.532     0.027
50.544     0.015    50.559     50.559     0.015
50.559     0.000    50.559     50.574     0.015
50.597     0.004    50.601     50.612     0.015
50.601     0.020    50.621     50.627     0.026
50.613     0.024    50.637     50.642     0.029
50.620     0.031    50.652     50.657     0.037
50.637     0.022    50.659     50.672     0.035
50.643     0.030    50.672     50.687     0.045
50.659     0.029    50.687     50.702     0.043
50.687     0.015    50.702     50.717     0.030
50.702     0.015    50.717     50.732     0.030
50.804     0.000    50.804     50.819     0.015
50.832     0.000    50.832     50.847     0.015
50.879     0.000    50.879     50.894     0.015
50.899     0.004    50.903     50.914     0.015
50.902     0.012    50.914     50.929     0.027
50.903     0.026    50.929     50.944     0.041
50.945     0.010    50.955     50.960     0.015
50.949     0.011    50.960     50.975     0.026
50.955     0.020    50.975     50.990     0.035
50.999     0.006    51.005     51.014     0.015
51.001     0.025    51.026     51.029     0.028
51.005     0.031    51.036     51.044     0.039
51.017     0.027    51.044     51.059     0.042
51.036     0.023    51.059     51.074     0.038
51.074     0.004    51.079     51.089     0.015
51.079     0.011    51.089     51.104     0.026
51.107     0.009    51.116     51.122     0.015
51.113     0.009    51.122     51.137     0.024
51.116     0.029    51.145     51.152     0.036
51.141     0.011    51.152     51.167     0.026
51.145     0.027    51.172     51.182     0.037
51.172     0.010    51.182     51.197     0.025
51.204     0.007    51.211     51.219     0.015
51.211     0.021    51.232     51.234     0.023
51.232     0.002    51.234     51.249     0.017
51.257     0.013    51.270     51.272     0.015
51.270     0.005    51.276     51.287     0.017
51.276     0.011    51.287     51.302     0.026
51.319     0.000    51.319     51.334     0.015
51.349     0.000    51.349     51.364     0.015
51.374     0.012    51.386     51.389     0.015
51.386     0.003    51.389     51.404     0.018
51.423     0.000    51.423     51.438     0.015
51.438     0.010    51.448     51.453     0.015
51.444     0.024    51.468     51.468     0.024
51.448     0.033    51.482     51.483     0.035
51.468     0.018    51.486     51.498     0.030
51.482     0.024    51.505     51.513     0.032
51.486     0.027    51.513     51.528     0.042
51.505     0.023    51.528     51.543     0.038
51.569     0.000    51.569     51.584     0.015
51.591     0.008    51.599     51.606     0.015
51.599     0.019    51.618     51.621     0.022
51.618     0.010    51.628     51.636     0.018
51.628     0.015    51.643     51.651     0.023
51.643     0.008    51.651     51.666     0.023
51.698     0.000    51.698     51.713     0.015
51.715     0.007    51.722     51.730     0.015
51.716     0.014    51.730     51.745     0.029
51.722     0.023    51.745     51.760     0.038
51.769     0.001    51.769     51.784     0.015
51.769     0.014    51.784     51.799     0.029
51.806     0.002    51.808     51.821     0.015
51.808     0.018    51.826     51.836     0.028
51.826     0.010    51.836     51.851     0.025
51.870     0.000    51.870     51.885     0.015
51.899     0.001    51.900     51.914     0.015
51.900     0.014    51.914     51.929     0.029
51.949     0.000    51.949     51.964     0.015
51.991     0.008    52.000     52.006     0.015
52.000     0.007    52.006     52.021     0.022
52.024     0.005    52.029     52.039     0.015
52.029     0.010    52.039     52.054     0.025
52.057     0.000    52.057     52.072     0.015
52.084     0.011    52.096     52.099     0.015
52.096     0.004    52.099     52.114     0.019
52.142     0.008    52.150     52.157     0.015
52.150     0.017    52.167     52.172     0.022
52.166     0.020    52.187     52.187     0.020
52.167     0.020    52.188     52.202     0.034
52.187     0.017    52.203     52.217     0.030
52.188     0.039    52.226     52.232     0.044
52.203     0.033    52.236     52.247     0.044
52.226     0.032    52.258     52.262     0.035
52.236     0.026    52.262     52.277     0.041
52.250     0.036    52.285     52.292     0.042
52.285     0.022    52.307     52.307     0.022
52.304     0.007    52.311     52.322     0.018
52.307     0.015    52.322     52.337     0.030
52.311     0.026    52.337     52.352     0.041
52.377     0.015    52.392     52.392     0.015
52.392     0.000    52.392     52.407     0.015
52.443     0.014    52.457     52.458     0.015
52.457     0.001    52.458     52.473     0.016
52.496     0.000    52.496     52.511     0.015
52.520     0.015    52.535     52.535     0.015
52.521     0.014    52.535     52.550     0.029
52.530     0.032    52.562     52.565     0.035
52.559     0.020    52.579     52.580     0.021
52.560     0.020    52.580     52.595     0.035
52.568     0.034    52.602     52.610     0.042
52.595     0.015    52.610     52.625     0.030
52.602     0.023    52.625     52.640     0.038
52.653     0.014    52.667     52.668     0.015
52.654     0.029    52.683     52.683     0.029
52.667     0.016    52.683     52.698     0.031
52.673     0.025    52.698     52.713     0.040
52.729     0.004    52.733     52.744     0.015
52.733     0.011    52.744     52.759     0.026
52.773     0.014    52.787     52.788     0.015
52.776     0.027    52.803     52.803     0.027
52.787     0.016    52.803     52.818     0.031
52.803     0.015    52.818     52.833     0.030
52.841     0.000    52.841     52.856     0.015
52.937     0.014    52.950     52.952     0.015
52.940     0.016    52.956     52.967     0.027
52.941     0.027    52.968     52.982     0.041
52.956     0.025    52.982     52.997     0.040
52.968     0.038    53.006     53.012     0.043
53.002     0.020    53.022     53.027     0.025
53.006     0.031    53.037     53.042     0.036
53.022     0.020    53.042     53.057     0.034
53.027     0.029    53.057     53.072     0.044
53.042     0.040    53.082     53.087     0.044
53.082     0.004    53.087     53.102     0.019
53.104     0.013    53.117     53.119     0.015
53.117     0.009    53.126     53.134     0.017
53.121     0.025    53.146     53.149     0.028
53.122     0.027    53.149     53.164     0.042
53.146     0.018    53.164     53.179     0.033
53.208     0.011    53.219     53.223     0.015
53.211     0.020    53.231     53.238     0.028
53.213     0.025    53.238     53.253     0.040
53.231     0.036    53.267     53.268     0.037
53.267     0.001    53.268     53.283     0.016
53.307     0.000    53.307     53.322     0.015
53.322     0.000    53.322     53.337     0.015
53.338     0.014    53.352     53.353     0.015
53.352     0.001    53.353     53.368     0.016
53.371     0.015    53.385     53.386     0.015
53.385     0.000    53.386     53.401     0.015
53.417     0.001    53.417     53.432     0.015
53.417     0.021    53.438     53.447     0.029
53.438     0.011    53.449     53.462     0.024
53.449     0.016    53.465     53.477     0.028
53.465     0.025    53.490     53.492     0.027
53.480     0.020    53.500     53.507     0.027
53.481     0.035    53.516     53.522     0.041
53.500     0.030    53.530     53.537     0.037
53.516     0.021    53.537     53.552     0.036
53.530     0.031    53.562     53.567     0.036
53.562     0.010    53.572     53.582     0.020
53.572     0.020    53.592     53.597     0.025
53.587     0.009    53.597     53.612     0.024
53.592     0.020    53.612     53.627     0.035
53.683     0.014    53.698     53.698     0.015
53.698     0.001    53.698     53.713     0.016
53.728     0.000    53.728     53.743     0.015
53.753     0.002    53.754     53.768     0.015
53.754     0.015    53.770     53.783     0.028
53.770     0.022    53.792     53.798     0.028
53.792     0.006    53.798     53.813     0.021
53.813     0.000    53.813     53.828     0.015
