~~~~~~~STARTING~~~~~~~~
Lambda = 65.00, Ts = 0.015, SimTime = 100.00

wAvg = 2, qAvg = 2
Arrival      Tw      Start       End        Tq
48.979     0.019    48.997     49.001     0.023
48.980     0.021    49.001     49.011     0.031
48.997     0.014    49.011     49.029     0.031
49.001     0.040    49.041     49.044     0.042
49.035     0.032    49.067     49.080     0.046
49.036     0.045    49.080     49.084     0.048
49.045     0.039    49.084     49.091     0.046
49.111     0.000    49.111     49.113     0.002
49.124     0.000    49.124     49.125     0.001
49.134     0.000    49.134     49.147     0.013
49.155     0.000    49.155     49.174     0.019
49.178     0.000    49.178     49.180     0.002
49.210     0.025    49.235     49.241     0.031
49.215     0.026    49.241     49.243     0.028
49.219     0.023    49.243     49.248     0.029
49.266     0.017    49.283     49.298     0.032
49.275     0.032    49.308     49.325     0.050
49.283     0.042    49.325     49.342     0.059
49.308     0.055    49.363     49.375     0.067
49.345     0.038    49.384     49.387     0.042
49.355     0.068    49.423     49.428     0.073
49.384     0.044    49.428     49.430     0.047
49.394     0.055    49.449     49.452     0.058
49.449     0.003    49.452     49.454     0.005
49.449     0.005    49.455     49.477     0.028
49.455     0.051    49.506     49.525     0.070
49.506     0.024    49.530     49.561     0.055
49.530     0.031    49.561     49.575     0.045
49.576     0.019    49.595     49.607     0.032
49.594     0.013    49.607     49.613     0.019
49.595     0.019    49.613     49.618     0.024
49.622     0.013    49.634     49.636     0.014
49.627     0.047    49.675     49.678     0.051
49.634     0.044    49.678     49.683     0.048
49.644     0.039    49.683     49.683     0.039
49.725     0.018    49.743     49.756     0.030
49.743     0.012    49.756     49.767     0.024
49.787     0.006    49.793     49.795     0.008
49.793     0.004    49.797     49.814     0.021
49.797     0.017    49.814     49.815     0.018
49.797     0.018    49.815     49.851     0.054
49.865     0.000    49.865     49.867     0.002
49.872     0.007    49.878     49.881     0.009
49.878     0.002    49.881     49.885     0.006
49.923     0.000    49.923     49.927     0.004
49.943     0.057    50.000     50.012     0.069
49.952     0.061    50.012     50.013     0.061
49.982     0.031    50.013     50.040     0.059
50.059     0.004    50.063     50.077     0.018
50.063     0.019    50.082     50.082     0.019
50.079     0.003    50.082     50.090     0.011
50.082     0.008    50.090     50.096     0.014
50.100     0.000    50.100     50.103     0.003
50.108     0.017    50.125     50.129     0.021
50.125     0.004    50.129     50.134     0.009
50.140     0.000    50.140     50.153     0.013
50.157     0.000    50.157     50.158     0.000
50.186     0.011    50.197     50.198     0.012
50.197     0.025    50.222     50.230     0.032
50.205     0.024    50.230     50.252     0.046
50.222     0.029    50.252     50.259     0.036
50.272     0.000    50.272     50.275     0.003
50.275     0.000    50.275     50.280     0.005
50.303     0.000    50.303     50.318     0.015
50.344     0.003    50.347     50.352     0.008
50.347     0.029    50.376     50.377     0.030
50.372     0.004    50.377     50.379     0.007
50.376     0.061    50.437     50.438     0.062
50.396     0.043    50.439     50.445     0.049
50.410     0.035    50.445     50.451     0.041
50.439     0.023    50.462     50.463     0.023
50.452     0.010    50.463     50.465     0.013
50.458     0.008    50.465     50.478     0.020
50.480     0.016    50.496     50.497     0.017
50.485     0.012    50.497     50.500     0.015
50.496     0.004    50.500     50.505     0.009
50.511     0.000    50.511     50.514     0.004
50.534     0.022    50.557     50.560     0.026
50.557     0.003    50.560     50.571     0.014
50.574     0.055    50.629     50.631     0.057
50.602     0.086    50.688     50.699     0.097
50.629     0.071    50.699     50.704     0.075
50.643     0.061    50.704     50.711     0.067
50.714     0.117    50.831     50.837     0.123
50.727     0.110    50.837     50.846     0.118
50.748     0.098    50.846     50.848     0.099
50.864     0.000    50.864     50.868     0.004
50.883     0.000    50.883     50.885     0.002
50.886     0.000    50.886     50.886     0.000
50.942     0.000    50.942     50.951     0.009
51.010     0.015    51.025     51.049     0.039
51.025     0.024    51.049     51.050     0.025
51.058     0.000    51.058     51.065     0.007
51.067     0.003    51.070     51.077     0.009
51.068     0.022    51.090     51.099     0.031
51.070     0.029    51.099     51.110     0.040
51.077     0.033    51.110     51.110     0.034
51.116     0.000    51.116     51.119     0.003
51.147     0.000    51.147     51.150     0.003
51.169     0.006    51.175     51.176     0.007
51.175     0.001    51.176     51.188     0.013
51.196     0.000    51.196     51.216     0.020
51.235     0.000    51.235     51.241     0.006
51.248     0.001    51.249     51.250     0.002
51.249     0.001    51.250     51.257     0.008
51.249     0.008    51.257     51.260     0.011
51.268     0.000    51.268     51.276     0.008
51.281     0.000    51.281     51.294     0.013
51.298     0.000    51.298     51.306     0.008
51.317     0.000    51.317     51.327     0.010
51.347     0.010    51.356     51.356     0.010
51.349     0.008    51.356     51.360     0.011
51.356     0.004    51.360     51.366     0.010
51.360     0.017    51.377     51.393     0.033
51.372     0.020    51.393     51.396     0.023
51.377     0.026    51.404     51.404     0.027
51.404     0.014    51.417     51.423     0.019
51.412     0.011    51.423     51.426     0.014
51.414     0.028    51.442     51.448     0.034
51.442     0.033    51.475     51.478     0.036
51.461     0.052    51.513     51.518     0.058
51.462     0.089    51.551     51.576     0.114
51.491     0.085    51.576     51.585     0.094
51.519     0.070    51.589     51.592     0.073
51.589     0.009    51.598     51.599     0.010
51.595     0.004    51.599     51.609     0.014
51.598     0.011    51.609     51.610     0.013
51.613     0.000    51.613     51.620     0.007
51.622     0.000    51.622     51.630     0.008
51.679     0.034    51.712     51.718     0.040
51.692     0.026    51.718     51.723     0.031
51.705     0.019    51.723     51.724     0.019
51.752     0.012    51.764     51.795     0.043
51.753     0.041    51.795     51.797     0.043
51.759     0.038    51.797     51.808     0.049
51.839     0.015    51.854     51.868     0.030
51.849     0.019    51.868     51.869     0.020
51.854     0.016    51.869     51.871     0.018
51.876     0.002    51.878     51.880     0.004
51.878     0.002    51.880     51.885     0.007
51.911     0.000    51.911     51.919     0.009
51.961     0.003    51.964     51.990     0.029
51.964     0.026    51.990     51.998     0.034
52.005     0.020    52.025     52.034     0.029
52.015     0.019    52.034     52.072     0.057
52.025     0.047    52.072     52.077     0.052
52.092     0.001    52.093     52.118     0.026
52.093     0.065    52.158     52.161     0.067
52.145     0.022    52.168     52.173     0.027
52.158     0.015    52.174     52.188     0.030
52.168     0.021    52.188     52.201     0.034
52.174     0.027    52.201     52.208     0.034
52.209     0.039    52.248     52.263     0.054
52.231     0.058    52.289     52.290     0.059
52.233     0.057    52.290     52.291     0.058
52.281     0.010    52.291     52.298     0.016
52.298     0.000    52.298     52.308     0.010
52.311     0.022    52.333     52.351     0.040
52.312     0.039    52.351     52.360     0.048
52.321     0.056    52.376     52.377     0.057
52.376     0.001    52.377     52.384     0.007
52.397     0.000    52.397     52.399     0.002
52.438     0.000    52.438     52.468     0.030
52.479     0.000    52.479     52.480     0.001
52.481     0.007    52.489     52.504     0.022
52.482     0.036    52.518     52.519     0.037
52.489     0.037    52.526     52.533     0.044
52.506     0.027    52.533     52.547     0.040
52.526     0.028    52.553     52.567     0.041
52.533     0.056    52.589     52.594     0.061
52.553     0.041    52.594     52.598     0.045
52.582     0.025    52.607     52.622     0.040
52.599     0.023    52.622     52.633     0.034
52.604     0.048    52.652     52.660     0.056
52.639     0.021    52.660     52.674     0.035
52.641     0.056    52.697     52.704     0.063
52.677     0.027    52.704     52.730     0.053
52.696     0.047    52.742     52.754     0.058
52.740     0.014    52.754     52.754     0.014
52.742     0.012    52.754     52.766     0.024
52.805     0.023    52.829     52.849     0.043
52.806     0.043    52.849     52.870     0.064
52.810     0.064    52.874     52.877     0.066
52.874     0.003    52.877     52.878     0.004
52.874     0.003    52.878     52.880     0.005
52.877     0.006    52.883     52.888     0.011
52.883     0.025    52.908     52.910     0.026
52.901     0.009    52.910     52.914     0.013
52.901     0.013    52.914     52.942     0.041
52.969     0.030    52.999     53.002     0.033
52.976     0.027    53.002     53.004     0.028
52.983     0.032    53.014     53.017     0.034
53.014     0.004    53.019     53.024     0.010
53.019     0.007    53.026     53.026     0.007
53.026     0.008    53.034     53.038     0.012
53.034     0.005    53.039     53.040     0.006
53.039     0.004    53.044     53.071     0.032
53.044     0.027    53.071     53.071     0.028
53.076     0.000    53.076     53.089     0.013
53.091     0.000    53.091     53.108     0.016
53.143     0.000    53.143     53.146     0.003
53.169     0.000    53.169     53.173     0.004
53.180     0.001    53.181     53.183     0.003
53.181     0.002    53.183     53.185     0.004
53.202     0.000    53.202     53.211     0.009
53.211     0.032    53.243     53.249     0.038
53.213     0.062    53.276     53.284     0.070
53.226     0.060    53.286     53.289     0.063
53.276     0.031    53.307     53.310     0.034
53.286     0.052    53.338     53.342     0.056
53.294     0.048    53.342     53.346     0.052
53.337     0.011    53.349     53.354     0.017
53.349     0.015    53.364     53.365     0.016
53.349     0.016    53.365     53.369     0.020
53.354     0.027    53.381     53.387     0.033
53.381     0.006    53.387     53.391     0.010
53.401     0.000    53.401     53.402     0.001
53.407     0.000    53.407     53.414     0.007
53.453     0.000    53.453     53.456     0.003
53.462     0.009    53.471     53.479     0.017
53.462     0.016    53.479     53.486     0.024
53.471     0.015    53.486     53.490     0.018
53.491     0.000    53.491     53.493     0.001
53.510     0.000    53.510     53.521     0.011
53.539     0.000    53.539     53.551     0.011
53.567     0.000    53.567     53.570     0.003
53.579     0.001    53.581     53.594     0.015
53.581     0.013    53.594     53.596     0.015
53.643     0.005    53.648     53.670     0.027
53.648     0.022    53.670     53.672     0.024
53.687     0.000    53.687     53.695     0.008
53.699     0.001    53.700     53.721     0.022
53.700     0.021    53.721     53.722     0.023
53.723     0.014    53.737     53.746     0.023
53.729     0.017    53.746     53.746     0.018
53.737     0.022    53.759     53.771     0.034
53.759     0.012    53.771     53.773     0.014
53.771     0.002    53.773     53.775     0.003
53.785     0.000    53.785     53.785     0.000
53.788     0.013    53.801     53.801     0.013
53.792     0.009    53.801     53.805     0.013
53.801     0.005    53.806     53.813     0.012
53.806     0.009    53.816     53.818     0.012
53.816     0.005    53.821     53.827     0.012
53.821     0.020    53.842     53.848     0.027
53.828     0.021    53.849     53.870     0.042
53.834     0.070    53.905     53.908     0.073
53.849     0.066    53.915     53.924     0.075
53.874     0.050    53.924     53.958     0.084
53.915     0.044    53.958     53.967     0.052
53.987     0.000    53.987     53.994     0.007
54.011     0.000    54.011     54.047     0.036
54.088     0.000    54.088     54.098     0.010
54.102     0.000    54.102     54.102     0.000
54.107     0.008    54.115     54.119     0.012
54.115     0.004    54.119     54.123     0.007
54.124     0.035    54.159     54.161     0.037
54.134     0.027    54.161     54.166     0.032
54.143     0.041    54.184     54.200     0.057
54.169     0.031    54.200     54.201     0.032
54.184     0.016    54.201     54.219     0.035
54.224     0.000    54.224     54.238     0.014
54.241     0.000    54.241     54.244     0.003
54.248     0.011    54.259     54.287     0.039
54.259     0.027    54.287     54.292     0.032
54.298     0.002    54.300     54.300     0.002
54.300     0.018    54.317     54.319     0.019
54.304     0.015    54.319     54.322     0.018
54.317     0.005    54.322     54.326     0.008
54.329     0.006    54.335     54.344     0.015
54.333     0.017    54.350     54.352     0.020
54.334     0.028    54.361     54.362     0.029
54.346     0.037    54.383     54.389     0.043
54.355     0.034    54.389     54.390     0.035
54.366     0.029    54.394     54.407     0.041
54.394     0.013    54.408     54.425     0.030
54.408     0.017    54.425     54.440     0.033
54.446     0.004    54.450     54.472     0.026
54.448     0.033    54.481     54.490     0.042
54.450     0.040    54.490     54.498     0.048
54.481     0.036    54.517     54.518     0.037
54.517     0.032    54.549     54.560     0.043
54.549     0.011    54.560     54.571     0.023
54.575     0.005    54.580     54.590     0.015
54.580     0.010    54.590     54.627     0.048
54.635     0.000    54.635     54.635     0.000
54.647     0.008    54.654     54.661     0.015
54.652     0.017    54.669     54.678     0.026
54.654     0.025    54.679     54.682     0.028
54.669     0.013    54.682     54.695     0.026
54.679     0.025    54.704     54.739     0.061
54.704     0.035    54.739     54.747     0.043
54.779     0.000    54.779     54.785     0.006
54.790     0.002    54.792     54.798     0.009
54.792     0.032    54.823     54.831     0.039
54.820     0.012    54.833     54.841     0.021
54.823     0.017    54.841     54.863     0.040
54.833     0.037    54.870     54.876     0.044
